pmid,continuation
35099904,"El artículo publicado en Revista Médica del Hospital Clínico San Carlos, por los autores José Luis García y María Jesús Martínez. En él se analizan las características epidemiológicas que han caracterizado a esta nueva epidemia mundial desde su inicio hasta ahora; así como también sus implicaciones para una posible transmisión sexual entre personas heterosexuales sin riesgo conocido o no infectadas previamente al VIH/SIDA""."
35099903,La palabra que falta en este fragmento es enfermos .
35099902,El estudio se realizó durante 10 meses desde marzo hasta diciembre de 2020 por medio de un cuestionario online que fue enviado al azar vía correo electrónico o WhatsApp; las respuestas fueron recolectadas automáticamente utilizando Google Forms® e integradas posteriormente usando RStudio®. El análisis estadístico incluyó medidas descriptivas básicas como frecuencias absolutas/relativas (%) según variables categóricas u ordinales así como medias ± desviación estándar (±SD). Para evaluar asociaciones bivariadas utilizamos pruebas chi cuadrado mientras que Fisher's exact test cuando hubo menos de cinco casos observados dentro cada categoría binaria asociada . La prueba Odds Ratio estimada es utilizada junto con su intervalo de confianza correspondiente(IC95%)para determinar si hay
35099897,"El estudio concluye que “el CEA es un problema importante para las personas adultas mexicanas; sin embargo, no hay evidencia suficiente acerca de sus efectos a largo plazo”."
35099896,"con personal médico en países como Estados Unidos y Canadá. En este sentido se ha reportado una disminución del 20% a nivel nacional debido al cierre temporal o parcial de los hospitales; sin embargo hay otros factores relacionados también para esta migración tales como las condiciones laborales (malas remuneraciones), falta de oportunidades profesionales dentro del país así como problemas migratorios""."
35099889,El objetivo del estudio fue describir los aspectos metodológicos relacionados con las variables sociodemográficas e indicadores nutricionales en un marco nacional para evaluar su representatividad a nivel regional o subregional; así como identificar posibles implicaciones sobre sus resultados finales al momento de realizar análisis regionales u otros estudios posteriores basados únicamente en datos nacionales sin considerar diferencias entre regiones geográficas dentro del país
35099888,"afectados por este virus, que ya tiene más de un millón trescientos mil casos confirmados"". El informe también señala como una preocupación principal para América Latina e Hispanoamérica es su alta tasa de mortalidad (2% del total mundial), lo cual representa casi dos veces al promedio global; además destaca cómo hay países con tasas muy altas o bajas según sus características demográficas -como Cuba-, así como otros donde aún están pendientes datos sobre muertes relacionadas directamente con COVID-19 debido principalmente porque son territorios pequeños sin suficientes recursos humanos disponibles actualmente."""
35099886,"pareja fue del 7%, siendo más frecuente entre mujeres; las principales causas fueron golpes o patadas/golpes verbales u ofensas (""violencia física"") seguido de amenazas físicas ('intimidación')"". La investigación se realizó mediante un estudio epidemiológico descriptivo realizado sobre una muestra representativa nacional utilizando datos obtenidos desde los resultados finales publicados correspondientes a la encuesta realizada durante enero - diciembre de 2009 bajo metodología oficial establecida como parte integrante de esta institución científica especializada encargada de realizar estudios científicos relacionados directamente con consumo de sustancias psicoactivas así como sus efectos nocivos tanto físicos cuanto psicológicos asociados principalmente pero no exclusivamente hacia individuos adultos mayores menores edad adulta joven adulto mayor adolescente niño niña menor infantil infante bebé lact"
35099884,"El estudio se realizó entre enero y junio de 2016; las instituciones participantes fueron seleccionadas por muestreo no probabilístico mediante convenios firmados previamente para implementar GPC o proyectos similares que incluyeran una evaluación sistemática sobre su uso e impacto clínico/sociales [3]. Los criterios específicos utilizados durante esta selección consistieron principalmente en contar con un equipo multidisciplinario dedicado al desarrollo u operación de programas relacionados con guías clínicas basadas en evidencia científica como parte integral dentro sus actividades diarias relacionadas directamente hacia pacientes bajo tratamiento médico específico incluyendo aquellos diagnosticados recientemente así mismo quienes han sido tratados anteriormente pero aún requieren seguimiento adicional debido falta suficiente información disponible acerca cómo mejorarlo sin causar ningún daño potencialmente mortal""."
34962730,La Valvula Mitral (VM) está constituida principalmente del anillo fibroso que rodea al orificio mitral; esta estructura tiene un papel fundamental a nivel mecánico ya que permite mantener cerrado dicho orifice durante todo el ciclo cardíaco permitiendo así evitar regurgitación ventricular izquierda hacia ventrículo derecho cuando ocurre contracción sistólica o diastólica respectivamente [1]. El músculo estriado medio interventricular también conocido comúnmente como “músculo trabecular” juega otro importante rol dentro mismo sistema circulatorio pues su función principal consiste asegurar cierre total entre ambas cámaras cardiacas evitando cualquier flujo sanguíneo inverso desde ventrilo izquierdo hasta ventricle derecha lo anterior sucede debido precisamente porque éste último no puede soportar presión suficiente necesaria generar bombeo adecuado sin embargo si existe
34605411,"COVID -19 "", que se publicó bajo la dirección del Dr. José Luis Rodríguez (Madrid). En este trabajo los autores describen un estudio retrospectivo realizado entre marzo a mayo sobre una serie prospectiva inicial para evaluar las características clínicas e inmunológicas asociadas con diferentes grados de gravedad clínica durante infección aguda causada por SARS CoV – 2 . El objetivo principal era determinar si había diferencias significativas según varios parámetros clínicos o bioquímicos relacionados con variables demográficas como edad avanzada , sexo masculino u otros factores asociados"". En primer lugar quiero agradecerle sus comentarios acerca nuestro articulo ya publicados hace unos meses atrás donde nos comentan algunos aspectos importantes respecto nuestra investigación realizada desde Madrid España; lo cual es muy importante porque siempre buscamos mejorar cada vez"
34594048,"first wave"". En este trabajo se ha analizado la producción científica de artículos sobre SARS-CoV-2 durante los primeros meses del año en curso y su impacto según las revistas más importantes que lo han recibido."" El autor continúa diciendo:""En nuestro país hemos tenido un papel destacado entre todos aquellos países europeos donde esta pandemia nos afectó especialmente (España es uno de ellos) debido principalmente porque somos una sociedad muy abierta e interconectada tanto internamente como internacionalmente; además tenemos unos sistemas sanitarios bastante bien estructurados pero también hay muchos factores socioeconómicos relacionados directamente o indirectamente con nuestra situación sanitaria actual"", esto último no tiene nada que ver realmente sino solo para dar contexto general acerca cómo fue evolucionando todo desde hace tiempo hasta llegar aquí mismo"
34472430,"más amplio y masivo del TM que se había visto hasta entonces"". En este artículo nos gustaría hacer una breve revisión histórica acerca de los inicios e historia reciente de esta tecnología para poder entender mejor su evolución actual a lo largo de estos años tan convulsos como 2020/2021 con respecto a las pandemias mundiales provocadas desde hace décadas ya no solo por virus sino también bacterias o incluso hongos patógenos; así pues vamos allá..."
34351891,"La investigación fue realizada por investigadores británicos y publicada recientemente (2019) como parte de las series Cochrane Database of Systematic Reviews . La Dra. Sarah J. O'Brien-Pallas , profesora asociada e investigadora principal clínica especializada en neonatología pediátrica neonatal / infantil; Dr. David A. Hillman ; profesor asociado especializado en cirugía general Pediatra Neonatal/Infantil - ambos pertenecientes al Departamento de Pediatría Infantil Universitario Hospital General Sanitarium Royal Children 's Melbourne University Childrens Health Research Institute Australia fueron coautores principales junto a otros autores australianos y europeos asociados"
34314411,¿Qué tipo de trastorno se presenta en este niño?
34314409,El artículo completo puede leerse aquí
34231744,Leer más
34219055,"El catéter se utiliza en muchas situaciones médicas. Por ejemplo cuando hay una obstrucción o un bloqueo parcial al flujo sanguíneo hacia algún órgano interno; también puede ser utilizado durante procedimientos quirúrgicos donde no sea posible colocar tubos directamente dentro del cuerpo humano debido a sus dimensiones pequeñas pero con suficiente longitud necesariapara poder llegar hasta ese lugar específico sin ningún tipo de dificultad alguna""."
34099615,La respuesta correcta sería D
34098623,"cuidado"": (1) la alimentación saludable con alimentos tradicionales que contienen nutrientes esenciales necesarios al desarrollo fetal e inmunológicos contra enfermedades infecciosas transmitibles por vía vertical o horizontalmente entre madre e hijo (""la comida""); (2) las actividades físicas diarias relacionadas principalmente con los trabajos agrícolas realizados desde antes hasta después del parto (“el trabajo”; “las labores”);(3) una serie de rituales relacionados tanto con aspectos religiosos-religiosos/espirituales–como culturales –que incluyen elementos medicinales-, tales como baños purificadores prenatales(“los baños”)y postparto(""bañitos""). Conclusiones."""
34098606,"(desnutridos) tenían bajo peso para su estatura (< -2 SD), lo que representa un aumento desde las estimaciones anteriores a partir de datos nacionales disponibles hasta ahora; sin embargo, esta proporción es menor al observado entre países similares como Brasil o Colombia"". El estudio fue publicado por investigadores mexicanos encabezados por María Elena Martínez García, directora general ad honorem de Nutrición Humana Aplicada A.C., quien también participó junto a otros especialistas internacionales liderando este trabajo multidisciplinario realizado durante más de dos décadas sobre nutrición infantil mexicana mediante estudios epidemiológicos longitudinales realizados principalmente dentro de hospitales públicos federales ubicados estratégicamente alrededor del país mexicano"
34077410,"El autor concluye diciendo lo siguente:""La participación activa ha sido un elemento fundamental para superar esta situación; sin embargo no hay una conciencia colectiva sobre ella ni tampoco existe ningún plan nacional o internacional por parte de organismos internacionales."""
33989490,El artículo se titula “Evaluación Multicentrica sobre Calidad Neonatal”
33989481,"(H3N2) fue del 4,5% a un mes después de su inicio; para H1N1 no hubo diferencias significativas entre grupos con o sin uso obligatorio de cubrebocas durante las primeras semanas post pandemia""."
33989480,En este caso podemos decir que es un ensayo porque tiene una estructura argumentativa con introducción-desarrollo -conclusiones
33989477,El documento completo puede descargarse aquí
33989472,a) 50% b) 67 % c)83 d)24
33984218,"El objetivo es describir las practicas consumtivas e usos que realizan los alumnos sobre la bebida escolar dentro de un programa nacional implementado por gobierno federal mexicano; se realizó una investigación cualitativa mixta entre secundaria pública turno mañana o tarde donde participaron niños/as desde primer año hasta sexto grado durante su periodo académico correspondiente al mes de octubre - noviembre de 2018 . La muestra fue seleccionada aleatoriamente mediante muestreo simple sin reemplazo ,con lo anterior obtuvimos datos cuantitativos como edad promedio=49 meses ; sexo masculino =3 veces más frecuente respecto femenino(p<0.05)y también encontramos diferencias significativas según nivel educativo alcanzado :los niveles primarios presentaron mayor frecuencia frente aquellos secundarios superiores quienes no utiliz"
33984216,El estudio concluye que existen diferencias entre legislaciones nacionales e internacionales para establecer límites máximos permitidos por ley o norma regulatoria sobre contenido publicitario dirigido al PI; sin embargo existe una tendencia generalizada hacia un mayor control con respecto a lo establecido internacionalmente durante este periodo analizado
33984212,"El estudio concluye diciendo lo siguente:""Se identificaron 103 artículos científicos publicados entre enero de 2005 a diciembre de 2o17; sin embargo solo tres son originales (dos tesis doctorales) o revisados para revistas científicas nacionales""."
33984211,El artículo completo puede leerse aquí
33984208,"de la gente es lo más importante"", se expresó como un valor central para las mujeres, mientras que por parte de hombres fue una expresión relacionada principalmente con sus hijos e hijas"". Conclusiones."""
33984206,"El estudio concluye que los virus respiratorios humanos pueden sobrevivir durante un período prolongado (hasta dos semanas) a temperaturas ambientales moderadas o altas; sin embargo, las condiciones más favorables para una supervivencia óptima son bajas presiones parciales de oxígeno (2), pH ácido (>4); temperatura ambiente entre -6°C (-7ºF) y +4 °C (+4 ºF)."
33984204,"La pandemia provocada por la COVID-19 se convirtió rápidamente en un problema global e hizo necesario establecer protocolos sanitarios específicos a nivel mundial (OMS 2020). En España los primeros casos fueron detectados hacia finales de enero/principios de febrero; sin embargo no fue hasta marzo cuando comenzó su propagación masiva entre población generalizada debido principalmente porque carecían medidas preventivas adecuadas como mascarillas o distanciamiento social obligatorio durante meses consecutivos lo cual nos llevó directamente ante esta situación actual donde todavía estamos luchando contra ella pero ya sabemos mucho más sobre cómo prevenir contagios así mismo podemos tratarlos si aparecen síntomas compatibles""."
33942727,"Estudio del efecto antiinflamatorio y analgésico sobre los pacientes con dolor crónico no neoplásico"". El autor es Dr. José Luis García-Sánchez (Madrid). El artículo está bien escrito e ilustrado por una serie de fotografías que muestran las lesiones cutáneas asociadas a este tipo de dolencias; sin embargo hay algunos aspectos importantes para destacar como son su metodología o sus conclusiones finales..."
33783460,La investigación científica continúa su desarrollo para mejorar nuestra calidad de vida; por ello te invitamos a leer este artículo sobre “perforaciones gastrointestinales”.
33661872,El estudio fue realizado conjuntamente entre investigadores del Instituto Nacional de Investigación e Innovación (INIA) junto al Centro para Investigaciones Biológicas Margarita Salas-CSIC; ambos ubicados dentro del Campus Universitario San Pablo CEU Madrid - CSIC .
33650532,"escroto crónico-EC"". MÉTODOS Se realizó una revisión bibliográfica sobre la literatura científica disponible para este tema con base al sistema Medline/Pubmed utilizando las palabras clave Torsion Testicular; Escroto Agudo o Crónico."""
33434914,"El objetivo principal fue identificar los factores que influyen para desarrollar complicaciones durante las primeras 24 horas después de iniciar terapia antitumoral, así como determinar si existe relación entre estos eventos adversos (EA) e inmunoterapia contra tumores sólidos o linfocitos malignos; además conocer qué tipo(s) de EA son más frecuentes según su gravedad clínica/morbilidad asociada al paciente tratado""."
33373357,Fuente
33351364,¿Qué es lo más importante para usted? ¿La salud o los negocios?.
33269705,"Urologia Española"", ha sido pionera a nivel mundial al publicar este número monográfico. El Dr José Luis García-Sánchez (Director) nos explica cómo se han abordado los temas más relevantes para entender mejor esta enfermedad tan frecuente entre nosotros españoles""."
33232310,¿Qué es lo que no entiendo? Gracias
33008157,"El paciente fue diagnosticado como un caso clínico tipo II (hipertensión pulmonar) en la etapa inicial o moderada según las clasificaciones propuestas para este diagnóstico; sin embargo se le diagnosticó también una insuficiencia cardiaca congestiva debido al hallazgo electrocardiográfico consistente en prolongación QTc >500 ms asociado a elevación ST inferior derecha compatible con síndrome QT largo""."
33008150,"El paciente fue ingresado a un hospital donde le realizaron una biopsia renal que arrojó resultados positivos para nefritis intersticial aguda por infección bacteriana; además presentó leucocitosis leve e hipercalcemia moderada""."
33008148,El artículo completo aquí
32677799,"Leclercia adecarboxylatea son raras y se han reportado en pacientes con leucemia linfoblástica aguda (LLA). Es una entérobactera anaeróbica gramnegativa de distribución mundial que es comúnmente encontrada como parte del microbioma intestinal normal; sin embargo las infcciones monotomicricas producidas por esta bactera fueron recientemente descritas""."
32558508,¿Qué tipo de investigación científica está realizando?
32538800,¿Qué es un virus? ¿Cómo se transmite este SARS CoV -2 ?
